City;University
Adana;Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi (ATÜ)
Adana;Çukurova Üniversitesi (ÇÜ)
Adıyaman;Adıyaman Üniversitesi (ADYÜ)
Afyonkarahisar;Afyon Kocatepe Üniversitesi (AKÜ)
Afyonkarahisar;Afyonkarahisar Sağlık Bilimleri Üniversitesi (AFSÜ)
Ağrı;Ağrı İbrahim Çeçen Üniversitesi (AİÇÜ)
Aksaray;Aksaray Üniversitesi (ASÜ)
Amasya;Amasya Üniversitesi
Ankara;Jandarma ve Sahil Güvenlik Akademisi(Askeri)
Ankara;Ankara Üniversitesi (AÜ)
Ankara;Ankara Müzik ve Güzel Sanatlar Üniversitesi (MGÜ)
Ankara;Ankara Hacı Bayram Veli Üniversitesi (AHBVÜ)
Ankara;Ankara Sosyal Bilimler Üniversitesi (ASBÜ)
Ankara;Gazi Üniversitesi (GÜ)
Ankara;Hacettepe Üniversitesi (HÜ)
Ankara;Orta Doğu Teknik Üniversitesi (ODTÜ)
Ankara;Ankara Yıldırım Beyazıt Üniversitesi (AYBÜ)
Ankara;Polis Akademisi
Ankara;Anka Teknoloji Üniversitesi
Ankara;Ankara Bilim Üniversitesi
Ankara;Ankara Medipol Üniversitesi
Ankara;Atılım Üniversitesi
Ankara;Başkent Üniversitesi
Ankara;Çankaya Üniversitesi
Ankara;İhsan Doğramacı Bilkent Üniversitesi
Ankara;Lokman Hekim Üniversitesi
Ankara;Ostim Teknik Üniversitesi
Ankara;TED Üniversitesi
Ankara;TOBB Ekonomi ve Teknoloji Üniversitesi
Ankara;Ufuk Üniversitesi
Ankara;Türk Hava Kurumu Üniversitesi
Ankara;Yüksek İhtisas Üniversitesi
Antalya;Akdeniz Üniversitesi (AKDÜ)
Antalya;Alanya Alaaddin Keykubat Üniversitesi (ALKÜ)
Antalya;Alanya Hamdullah Emin Paşa Üniversitesi
Antalya;Antalya Akev Üniversitesi
Antalya;Antalya Bilim Üniversitesi
Ardahan;Ardahan Üniversitesi (ARÜ)
Artvin;Artvin Çoruh Üniversitesi (AÇÜ)
Aydın;Aydın Adnan Menderes Üniversitesi (ADÜ)
Balıkesir;Balıkesir Üniversitesi (BAÜN)
Balıkesir;Bandırma Onyedi Eylül Üniversitesi (BANÜ)
Bartın;Bartın Üniversitesi
Batman;Batman Üniversitesi (BATÜ)
Bayburt;Bayburt Üniversitesi (BAYÜ)
Bilecik;Bilecik Şeyh Edebali Üniversitesi (BŞEÜ)
Bingöl;Bingöl Üniversitesi (BÜ)
Bitlis;Bitlis Eren Üniversitesi (BEÜ)
Bolu;Bolu Abant İzzet Baysal Üniversitesi (AİBÜ)
Burdur;Burdur Mehmet Akif Ersoy Üniversitesi (MAKÜ)
Bursa;Bursa Teknik Üniversitesi (BTÜ)
Bursa;Bursa Uludağ Üniversitesi (BUÜ)
Bursa;Mudanya Üniversitesi
Çanakkale;Çanakkale Onsekiz Mart Üniversitesi (ÇOMÜ)
Çankırı;Çankırı Karatekin Üniversitesi (ÇAKÜ)
Çorum;Hitit Üniversitesi (HİTÜ)
Denizli;Pamukkale Üniversitesi (PAÜ)
Diyarbakır;Dicle Üniversitesi (DÜ)
Düzce;Düzce Üniversitesi (DÜ)
Edirne;Trakya Üniversitesi (TÜ)
Elazığ;Fırat Üniversitesi (FÜ)
Erzincan;Erzincan Binali Yıldırım Üniversitesi (EBYÜ)
Erzurum;Atatürk Üniversitesi (ATAÜNİ)
Erzurum;Erzurum Teknik Üniversitesi (ETÜ)
Eskişehir;Anadolu Üniversitesi (ANAÜ)
Eskişehir;Eskişehir Osmangazi Üniversitesi (ESOGÜ)
Eskişehir;Eskişehir Teknik Üniversitesi (ESTÜ)
Gaziantep;Gaziantep Üniversitesi (GAÜN)
Gaziantep;Gaziantep İslam Bilim ve Teknoloji Üniversitesi (GİBTÜ)
Gaziantep;Hasan Kalyoncu Üniversitesi
Gaziantep;Sanko Üniversitesi
Giresun;Giresun Üniversitesi (GRÜ)
Gümüşhane;Gümüşhane Üniversitesi (GŞÜ)
Hakkâri;Hakkari Üniversitesi
Hatay;İskenderun Teknik Üniversitesi (İSTE)
Hatay;Hatay Mustafa Kemal Üniversitesi (MKÜ)
Iğdır;Iğdır Üniversitesi (IĞDÜ)
Isparta;Süleyman Demirel Üniversitesi (SDÜ)
Isparta;Isparta Uygulamalı Bilimler Üniversitesi (ISUBÜ)
İstanbul;Boğaziçi Üniversitesi (BOÜN)
İstanbul;Galatasaray Üniversitesi (GSÜ)
İstanbul;İstanbul Medeniyet Üniversitesi (İMÜ)
